length=;32;;;;;;;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;
1;2;1;0;0;0;0;0;100;100;100;
2;3;1;0;0;0;0;0;100;100;100;
3;4;1;0;0;0;0;0;100;100;100;
4;5;1;0;0;0;0;0;100;100;100;
5;6;1;0;0;0;0;0;100;100;100;
6;7;1;0;0;0;0;0;100;100;100;
7;8;1;0;0;0;0;0;100;100;100;
8;9;1;0;0;0;0;0;100;100;100;
9;10;1;0;0;0;0;0;100;100;100;
10;11;1;0;0;0;0;0;100;100;100;
11;12;1;0;0;0;0;0;100;100;100;
12;13;1;0;0;0;0;0;100;100;100;
13;14;1;0;0;0;0;0;100;100;100;
14;15;1;0;0;0;0;0;100;100;100;
15;16;1;0;0;0;0;0;100;100;100;
16;17;1;0;0;0;0;0;100;100;100;
17;18;1;0;0;0;0;0;100;100;100;
18;19;1;0;0;0;0;0;100;100;100;
19;20;1;0;0;0;0;0;100;100;100;
20;21;1;0;0;0;0;0;100;100;100;
21;22;1;0;0;0;0;0;100;100;100;
22;23;1;0;0;0;0;0;100;100;100;
23;24;1;0;0;0;0;0;100;100;100;
24;25;1;0;0;0;0;0;100;100;100;
25;26;1;0;0;0;0;0;100;100;100;
26;27;1;0;0;0;0;0;100;100;100;
27;28;1;0;0;0;0;0;100;100;100;
28;29;1;0;0;0;0;0;100;100;100;
29;30;1;0;0;0;0;0;100;100;100;
30;31;1;0;0;0;0;0;100;100;100;
31;32;1;0;0;0;0;0;100;100;100;
32;33;1;0;0;0;0;0;100;100;100;
